Crop,N,P,K,pH,Water content(vwc%),Price per quintal,Water Requirement,Sowing months,Harvesting months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango,2.0-4.0 ,0.15-0.25 ,0.3-0.6 ,6.0-7.0,20 - 30,"₹7,112.00",1000-1200,April to June,May to August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana,2.5-4.0 ,0.8-1.2 ,2.0-3.0 ,5.5-7.0,20 - 30,"₹1,650.00",1200-1400,Year-round,Year-round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papaya,2.5-3.5 ,0.5-1.0 ,1.5-2.5 ,5.5-7.0,20 - 30,₹700.00,800-1000,February to April,July to October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grapes,1.5-3.5 ,0.3-0.6 ,1.5-2.5 ,6.0-7.0,20 - 30,₹4000-4450,600-800,October to November,"April to May, January to February",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikoo,1.5-3.0 ,0.25-0.5 ,1.0-1.5 ,6.0-7.5,20 - 30,"₹1,000.00",700-800,"May to June, October to November","December to February, April to June",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomegranate,2.0-4.0 ,0.3-0.5 ,1.5-2.5 ,6.0-7.5,20 - 30,"₹4,000.00",800-1000,June to July,"November to December, February to April",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guava,2.0-4.0 ,0.3-0.5 ,1.5-2.5 ,5.5-7.5,20 - 30,"₹2,500.00",600-800,"May to June, September to October","December to February, May to June",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watermelon,2.0-3.0 ,0.5-1.0 ,1.0-2.0 ,6.0-7.5,90 - 95,"₹3,000.00",700-1000,"March to April, June to July","May to June, September to November",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musk Melon,1.5-3.0 ,0.3-0.6 ,1.0-1.5 ,6.0-7.5,90 - 95,"₹3,000.00",500-800,"March to April, June to July","May to June, September to November",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,2.5-3.5 ,0.5-1.0 ,2.5-3.5 ,6.0-7.0,10 - 15,"₹2,500.00",500-700,"November to January, March to April","February to May, September to October",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
